"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","order","family","genus","specificEpithet","scientificName","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","class","individualCount","occurrenceRemarks","recordedBy","continentOcean","verbatimLongitude","verbatimLatitude","sex","scientificNameAuthorship","preparationType","recordNumber","fieldNumber","infraspecificEpithet","identifiedBy","yearIdentified","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","previousCatalogNumber","relationshipType"
"29","2019-11-29 10:32:05-03","Fapesp","SINBIOTA","171420001","HumanObservation","Animalia",NA,"Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Brazil","SP","Igarapava",NA,"-47.599998","-20.116699",NA,NA,"Chordata","Mammalia",NA,"Prof. Dr. José M. B. Duarte. Departamento de Zoologia - UNESP Jaboticabal (Com. pess. 15/12/2003). Equipe Técnica do Departamento Estadual de Proteção de Recursos Naturais (DEPRN) de Franca.","Prof. Dr. José M. B. Duarte (Com. pess. 15/12/2003) e Equipe Técnica do DEPRN de Franca¹.","South America","-47.599998","-20.116699",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-11-29 10:32:05-03","Fapesp","SINBIOTA","171430001","HumanObservation","Animalia",NA,"Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Brazil","SP","Igarapava",NA,"-47.5667","-20.133301",NA,NA,"Chordata","Mammalia",NA,"Prof. Dr. José M. B. Duarte. Departamento de Zoologia - UNESP Jaboticabal (Com. pess. 15/12/2003). Equipe Técnica do Departamento Estadual de Proteção de Recursos Naturais (DEPRN) de Franca.","Prof. Dr. José M. B. Duarte (Com. pess. 15/12/2003) e Equipe Técnica do DEPRN de Franca¹.","South America","-47.5667","-20.133301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-11-29 10:32:05-03","Fapesp","SINBIOTA","171490001","HumanObservation","Animalia",NA,"Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Brazil","SP","Nova Granada",NA,"-49.200001","-20.5333",NA,NA,"Chordata","Mammalia",NA,"Equipe Técnica do Departamento estadual de Proteção de recursos naturais (DEPRN) de São José do Rio Preto.","Equipe Técnica do DEPRN de São José do Rio Preto.","South America","-49.200001","-20.5333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2019-11-29 10:32:05-03","Fapesp","SINBIOTA","171690002","HumanObservation","Animalia",NA,"Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Brazil","SP","Jaú",NA,"-48.400002","-22.133301",NA,NA,"Chordata","Mammalia",NA,"Equipe Técnica do Departamento Estadual de Proteção de Recursos Naturais (DEPRN) de São Carlos.","Equipe Técnica do DEPRN de São Carlos.","South America","-48.400002","-22.133301",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2019-11-29 10:32:05-03","Fapesp","SINBIOTA","171770002","HumanObservation","Animalia",NA,"Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Brazil","SP","Altinópolis",NA,"-47.333301","-21.016701",NA,NA,"Chordata","Mammalia",NA,"Equipe Técnica do Departamento Estadual de Proteção de Recursos Naturais (DEPRN) de Ribeirão Preto.","Equipe Técnica do DEPRN de Ribeirão Preto.","South America","-47.333301","-21.016701",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-11-29 10:32:05-03","Fapesp","SINBIOTA","171780002","HumanObservation","Animalia",NA,"Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Brazil","SP","Altinópolis",NA,"-47.400002","-21.049999",NA,NA,"Chordata","Mammalia",NA,"Equipe Técnica do Deparatmento Estadual de Proteção de Recursos Naturais (DEPRN) de Ribeirão Preto.","Equipe Técnica do DEPRN de Ribeirão Preto.","South America","-47.400002","-21.049999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-11-29 10:32:05-03","Fapesp","SINBIOTA","171850002","HumanObservation","Animalia",NA,"Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Brazil","SP","Lençóis Paulista",NA,"-48.8167","-22.75",NA,NA,"Chordata","Mammalia",NA,"Equipe Técnica do Departamento Estadual de Proteção de Recursos Naturais (DEPRN) de Avaré.","Equipe Técnica do DEPRN de Avaré.","South America","-48.8167","-22.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-11-29 10:32:05-03","Fapesp","SINBIOTA","172080002","HumanObservation","Animalia",NA,"Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Brazil","SP","Platina",NA,"-50.200001","-22.5333",NA,NA,"Chordata","Mammalia",NA,"Prof. Dr. José M. B. Duarte. Departamento de Zoologia - UNESP Jaboticabal (Com. pess. 15/12/2003). Equipes Técnicas do Departamento Estadual de Proteção de Recursos Naturais (DEPRN) de Marília e Assis.","Prof. Dr. José M. B. Duarte (Com. pess. 15/12/2003) e Equipes Técnicas do DEPRN de Marília¹ e Assis.","South America","-50.200001","-22.5333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-11-29 10:32:05-03","Fapesp","SINBIOTA","172100010","HumanObservation","Animalia",NA,"Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Brazil","SP","Ribeirão Bonito",NA,"-48.133301","-22.049999",NA,NA,"Chordata","Mammalia",NA,"Prof. Dr. José M. B. Duarte. Departamento de Zoologia - UNESP Jaboticabal (Com. pess. 15/12/2003); TOZETTI, A. M. Diversidade e padrões de atividade de mamíferos de médio e grande porte em diferentes fisionomias de Cerrado na Estação Ecológica de Itirapin","Prof. Dr. José M. B. Duarte (Com. pess. 15/12/2003); TOZETTI, A. M. (2002); MARINO et al. (2002); Equipe Técnica do DEPRN de São Carlos¹.","South America","-48.133301","-22.049999",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-11-29 10:32:05-03","Fapesp","SINBIOTA","172110001","HumanObservation","Animalia",NA,"Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Brazil","SP","Brotas",NA,"-48.016701","-22.1",NA,NA,"Chordata","Mammalia",NA,"Prof. Dr. José M. B. Duarte. Departamento de Zoologia - UNESP Jaboticabal (Com. pess. 15/12/2003); TOZETTI, A. M. Diversidade e padrões de atividade de mamíferos de médio e grande porte em diferentes fisionomias de Cerrado na Estação Ecológica de Itirapin","Prof. Dr. José M. B. Duarte (Com. pess. 15/12/2003); TOZETTI, A. M. (2002); MARINO et al. (2002); Equipe Técnica do DEPRN de São Carlos¹.","South America","-48.016701","-22.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2019-11-29 10:32:05-03","Fapesp","SINBIOTA","172120001","HumanObservation","Animalia",NA,"Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Brazil","SP","Ribeirão Bonito",NA,"-48.200001","-22.116699",NA,NA,"Chordata","Mammalia",NA,"Prof. Dr. José M. B. Duarte. Departamento de Zoologia - UNESP Jaboticabal (Com. pess. 15/12/2003); TOZETTI, A. M. Diversidade e padrões de atividade de mamíferos de médio e grande porte em diferentes fisionomias de Cerrado na Estação Ecológica de Itirapin","Prof. Dr. José M. B. Duarte (Com. pess. 15/12/2003); TOZETTI, A. M. (2002); MARINO et al. (2002); Equipe Técnica do DEPRN de São Carlos¹.","South America","-48.200001","-22.116699",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-11-29 10:32:05-03","Fapesp","SINBIOTA","172250008","HumanObservation","Animalia",NA,"Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Brazil","SP","Pereira Barreto",NA,"-50.966701","-20.866699",NA,NA,"Chordata","Mammalia",NA,"CESP: Cia Energética de São Paulo. Usina Hidrelétrica Três Irmãos. Pereira Barreto (SP), 1990 (RIMA); Equipe Técnica do Departamento Estadual de Proteção de Recursos Naturais (DEPRN) de Araçatuba.","CESP (1990) - RIMA; Equipe Técnica do DEPRN de Araçatuba¹.","South America","-50.966701","-20.866699",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2019-11-29 10:32:05-03","Fapesp","SINBIOTA","225810005","HumanObservation","Animalia",NA,"Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Brazil","SP","São Luís do Paraitinga","Os dados foram coletados na zona rural do município, em até 2mil metros ao redor do ponto de GPS, por meio de 10 questionários estruturados (reg. slp10).","-45.3663908819","-23.2002251166",NA,NA,"Chordata","Mammalia",NA,NA,"Camila Alvez Islas","South America","-45.3663908819","-23.2002251166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2019-11-29 10:32:05-03","Fapesp","SINBIOTA","172260008","HumanObservation","Animalia",NA,"Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Brazil","SP","Valparaíso",NA,"-50.833301","-20.983299",NA,NA,"Chordata","Mammalia",NA,"CESP: Cia Energética de São Paulo. Usina Hidrelétrica Três Irmãos. Pereira Barreto (SP), 1990 (RIMA); Equipe Técnica do Departamento Estadual de Proteção de Recursos Naturais (DEPRN) de Araçatuba.","CESP (1990) - RIMA; Equipe Técnica do DEPRN de Araçatuba¹.","South America","-50.833301","-20.983299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-11-29 10:32:05-03","Fapesp","SINBIOTA","172490008","HumanObservation","Animalia",NA,"Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Brazil","SP","Mirandópolis",NA,"-51.099998","-20.983299",NA,NA,"Chordata","Mammalia",NA,"CESP: Cia Energética de São Paulo. Usina Hidrelétrica Três Irmãos. Pereira Barreto (SP), 1990 (RIMA); Equipe Técnica do Departamento Estadual de Proteção de Recursos Naturais (DEPRN) de Araçatuba.","CESP (1990) - RIMA; Equipe Técnica do DEPRN de Araçatuba¹.","South America","-51.099998","-20.983299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2019-11-29 10:32:05-03","Fapesp","SINBIOTA","172500013","HumanObservation","Animalia",NA,"Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Brazil","SP","Pereira Barreto",NA,"-51.099998","-20.8167",NA,NA,"Chordata","Mammalia",NA,"CWESP: Cia Energética de São Paulo. Usina Hidrelétrica Três Irmãos. Pereira barreto (SP), 1990 (RIMA); Equipe Técnica do Departamento Estadual de Proteção de Recursos Naturais (DEPRN) de Araçatuba.","CESP (1990) - RIMA; Equipe Técnica do DEPRN de Araçatuba¹.","South America","-51.099998","-20.8167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2019-11-29 10:32:05-03","Fapesp","SINBIOTA","172530001","HumanObservation","Animalia",NA,"Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Brazil","SP","Agudos",NA,"-49.016701","-22.6",NA,NA,"Chordata","Mammalia",NA,"Prof. Dr. José M. B. Duarte. Departamento de Zoologia-UNESP Jaboticabal. (Com. pess. 15/12/2003); Equipe Técnica do Departamento Estadual de Proteção de Recursos Naturais (DEPRN) de Bauru.","Prof. Dr. José M. B. Duarte (Com. pess. 15/12/2003); Equipe Técnica do DEPRN de Bauru¹.","South America","-49.016701","-22.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2019-11-29 10:32:05-03","Fapesp","SINBIOTA","172560002","HumanObservation","Animalia",NA,"Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Brazil","SP","Bauru",NA,"-48.966701","-22.3167",NA,NA,"Chordata","Mammalia",NA,"Prof. Dr. José M. B. Duarte. Departamento de Zoologia-UNESP Jaboticabal. (Com. pess. 15/12/2003); Equipe Técnica do Departamento Estadual de Proteção de Recursos Naturais (DEPRN) de Bauru.","Prof. Dr. José M. B. Duarte (Com. pess. 15/12/2003); Equipe Técnica do DEPRN de Bauru¹.","South America","-48.966701","-22.3167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2019-11-29 10:32:05-03","Fapesp","SINBIOTA","172570001","HumanObservation","Animalia",NA,"Canidae","Chrysocyon","brachyurus","Chrysocyon brachyurus",NA,NA,NA,"Brazil","SP","Icém",NA,"-49.216701","-20.4167",NA,NA,"Chordata","Mammalia",NA,"Departamento Estadual de Proteção de Recursos Naturais (DEPRN) de São José do Rio Preto.","Equipe Técnica do DEPRN de São José do Rio Preto.","South America","-49.216701","-20.4167",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
