"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","year","month","day","continentOcean","country","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","identifiedBy","recordNumber","stateProvince","previousCatalogNumber","yearIdentified","county","coordinatePrecision","geoFlag","monthIdentified","minimumElevationInMeters","maximumElevationInMeters","typeStatus","sex","preparationType","individualCount","dayIdentified","relatedCatalogItem"
34,"2019-12-16 16:49:06-03","NYBG","NYBG","781798","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","S. A. Mori",1978,3,5,"South America","Brazil","Km 10 da estrada que liga Poçoes (BR-116) ao povoado de Bom Jesus da Serra (ao W de Poçoes).",-40.3653,-14.5297,"-40.3653","-14.5297","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=71582 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00781798","NY00781798","Magnoliophyta","H. E. Robinson","9515","Bahia",NA,1979,"Poçoes",NA,NA,NA,750,750,NA,NA,"sheet",NA,NA,NA
35,"2019-12-16 16:49:06-03","NYBG","NYBG","781799","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","S. A. Mori",1980,3,9,"South America","Brazil","BA 046, trecho Iaçú/Milagres, a 5km ao E de Iaçú.",-40.21,-12.76,"-40.2100000","-12.76","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=71583 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00781799","NY00781799","Magnoliophyta","H. E. Robinson","13428","Bahia",NA,1981,"Iaçú",NA,NA,NA,300,300,NA,NA,"sheet",NA,NA,NA
36,"2019-12-16 16:49:06-03","NYBG","NYBG","781800","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","R. M. Harley",1974,2,27,"South America","Brazil","Side road ca. 2km from Estiva, about 12km. N of Senhor do Bonfim on the BA 130 to Juazeiro.",-40.17,-10.38,"-40.17","-10.38","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=71576 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00781800","NY00781800","Magnoliophyta","N. F. F. MacLeish","16520","Bahia",NA,1982,NA,NA,NA,NA,620,620,NA,NA,"sheet",NA,NA,NA
37,"2019-12-16 16:49:06-03","NYBG","NYBG","781801","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","A. M. Amorim",1993,2,21,"South America","Brazil","Estrada Jacobina-Itaitu, ca. de 22km a partir da Sede do município.",-40.5181,-11.1808,"-40.5181","-11.1808","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=71584 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00781801","NY00781801","Magnoliophyta","H. E. Robinson","981","Bahia",NA,1993,"Jacobina",NA,NA,12,NA,NA,NA,NA,"sheet",NA,NA,NA
38,"2019-12-16 16:49:06-03","NYBG","NYBG","781802","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","L. A. Mattos Silva",1979,2,14,"South America","Brazil","Rod. Maracás/Contendas do Sincorá (BA 026), km 6. Folha SD 24 (14-40a).",-40.4306,-13.4411,"-40.4306","-13.4411","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=71586 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00781802","NY00781802","Magnoliophyta","G. M. Barroso","237","Bahia",NA,1979,"Maracás",NA,NA,NA,900,900,NA,NA,"sheet",NA,NA,NA
40,"2019-12-16 16:49:06-03","NYBG","NYBG","781805","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","A. M. V. de Carvalho",1992,2,19,"South America","Brazil","Ramal a 15km na estrada Vitória da Conquista a Ilhéus.",-40.8392,-14.8661,"-40.8392","-14.8661","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=71581 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00781805","NY00781805","Magnoliophyta","J. F. Pruski","3803","Bahia",NA,1992,"Vitória da Conquista",NA,NA,NA,NA,NA,NA,NA,"sheet",NA,NA,NA
41,"2019-12-16 16:49:06-03","NYBG","NYBG","781806","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","J. G. Jardim",2000,2,24,"South America","Brazil","14.5km na rod. Elísio Medrado/Sta. Teresinha. Torre da Embratel, ca. 7km do Distr. de Pedra Branca. Serra da Giboia.",-39.4758,-12.8536,"-39.4758","-12.8536","<a href=http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=71587 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NY00781806","NY00781806","Magnoliophyta",NA,"2809","Bahia",NA,NA,"Santa Teresinha",NA,NA,NA,750,750,NA,NA,"sheet",NA,NA,NA
42,"2013-07-03 10:29:31-03","EBDA","BAH","5219","S","Plantae",NA,NA,"Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","Jardim, J.G.",2000,2,24,NA,"Brasil","14,5Km na rodovia Elísio Medradp/Sta. Teresinha. Torre da Embratel, ca. 7Km do distrito de Pedra Branca. Serra da Giboia.",-39.475833,-12.853611,"39W 28' 33","12S 51' 13","Subarbusto ca. 1m altura. Folhas discolores, verde na face superior e a face inferior alvacenta. Flores lilás-claro, periclínio verde.",NA,NA,NA,"H.A. Ogasawara","2809","Bahia",NA,2013,"Santa Teresinha",NA,NA,5,750,750,NA,NA,NA,NA,NA,NA
43,"2013-07-03 10:29:31-03","EBDA","BAH","9722","S","Plantae",NA,NA,"Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","Ribeiro, T.",2001,4,5,NA,"Brasil","Entre a fazenda pé de serra e o riacho do caldeirão",-40.554444,-11.4075,"40W 33' 16","11S 24' 27","Substrato ereto ; perfumado folhas semi-papiraceas.",NA,NA,NA,"H.P. Bautista","133","Bahia",NA,2001,"Miguel Calmon",NA,NA,4,820,820,NA,NA,NA,NA,NA,NA
44,"2013-07-03 10:29:31-03","EBDA","BAH","10080","S","Plantae",NA,NA,"Asteraceae","Blanchetia","heterotricha","Blanchetia heterotricha","DC.","Bautista H.P.",2001,4,10,NA,"Brasil","Serra da paciência",-40.380278,-10.693056,"40W 22' 49","10S 41' 35","Arbusto perfumado folhas papiraceas,discolores face abaxial grísea flores alvas filarias verdes. Substrato pedregoso.",NA,NA,NA,"H.P. Bautista","3117","Bahia",NA,2001,"Pindobuçu",NA,NA,4,1200,1200,NA,NA,NA,NA,NA,NA
